Crime ID,Date,Time,City,Location,Latitude,Longitude,Crime Type,Number of Crimes,Number of Arrests,Arrest Made,Severity
C1239,2024-07-06,06:03,Kansas City,Santos Isle,39.0997,-94.5786,Assault,1,2,Arrest Made,Medium
C1240,2023-07-12,00:45,Little Rock,Sarah Cove,34.7465,-92.2896,Vandalism,1,1,Arrest Made,Low
C1241,2023-12-03,07:18,Kansas City,Carter Wall,39.0997,-94.5786,Burglary,1,2,Arrest Made,Medium
C1242,2023-10-10,11:40,Kansas City,Adam Islands,39.0997,-94.5786,Homicide,1,1,Arrest Made,High
C1243,2023-10-05,10:00,Tulsa,Watkins Springs,36.15398,-95.99277,Robbery,1,0,No Arrest,High
C1244,2025-03-23,21:05,Little Rock,Mark View,34.7465,-92.2896,Assault,1,1,Arrest Made,Medium
C1245,2023-12-22,22:59,Austin,Jackie Wells,30.2672,-97.7431,Drug Offense,1,0,No Arrest,Medium
C1246,2025-01-13,17:09,Houston,Sabrina Court,29.7604,-95.3698,Theft,1,2,Arrest Made,Low
C1247,2023-12-01,06:10,San Antonio,Karen Rest,29.4241,-98.4936,Theft,1,1,Arrest Made,Low
C1248,2024-09-16,10:19,San Antonio,Jillian Lakes,29.4241,-98.4936,Homicide,1,1,Arrest Made,High
C1249,2025-06-04,10:49,Houston,Tony Park,29.7604,-95.3698,Burglary,1,0,No Arrest,Medium
C1250,2025-01-14,01:59,Little Rock,Carrie Lodge,34.7465,-92.2896,Theft,1,1,Arrest Made,Low
C1251,2025-04-02,19:44,San Antonio,Walters Square,29.4241,-98.4936,Drug Offense,1,0,No Arrest,Medium
C1252,2023-09-19,00:16,Kansas City,Cindy Wells,39.0997,-94.5786,Theft,1,2,Arrest Made,Low
C1253,2024-04-11,21:46,Dallas,Jessica Lodge,32.7767,-96.797,Vandalism,1,1,Arrest Made,Low
C1254,2024-10-25,21:25,Tulsa,Dudley Plain,36.15398,-95.99277,Robbery,1,1,Arrest Made,High
C1255,2024-04-01,08:10,Houston,Clark Estate,29.7604,-95.3698,Fraud,1,0,No Arrest,Medium
C1256,2025-03-04,10:56,Austin,George Lake,30.2672,-97.7431,Burglary,1,1,Arrest Made,Medium
C1257,2024-02-27,13:06,Tulsa,William Ridge,36.15398,-95.99277,Vandalism,1,2,Arrest Made,Low
C1258,2025-04-15,17:24,Dallas,Perry Square,32.7767,-96.797,Drug Offense,1,2,Arrest Made,Medium
C1259,2025-03-14,23:44,Oklahoma City,Powell Turnpike,35.4676,-97.5164,Drug Offense,1,1,Arrest Made,Medium
C1260,2024-07-21,12:56,Kansas City,Brewer Fork,39.0997,-94.5786,Burglary,1,2,Arrest Made,Medium
C1261,2023-09-16,16:45,Austin,Craig Groves,30.2672,-97.7431,Fraud,1,2,Arrest Made,Medium
C1262,2024-07-01,10:56,Tulsa,Lopez Orchard,36.15398,-95.99277,Fraud,1,0,No Arrest,Medium
C1263,2023-11-03,17:50,Oklahoma City,Gregory Shore,35.4676,-97.5164,Homicide,1,1,Arrest Made,High
C1264,2023-09-28,06:44,Austin,Spencer Path,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1265,2025-03-22,03:46,Houston,Justin Alley,29.7604,-95.3698,Fraud,1,1,Arrest Made,Medium
C1266,2023-12-26,00:02,Dallas,Thomas Fords,32.7767,-96.797,Theft,1,1,Arrest Made,Low
C1267,2023-07-02,00:10,Little Rock,Christine Club,34.7465,-92.2896,Burglary,1,2,Arrest Made,Medium
C1268,2023-09-08,16:52,Kansas City,Sandra Forest,39.0997,-94.5786,Fraud,1,0,No Arrest,Medium
C1269,2025-06-05,04:36,Tulsa,Troy Valleys,36.15398,-95.99277,Vandalism,1,1,Arrest Made,Low
C1270,2024-01-02,16:29,Little Rock,Williams Parkways,34.7465,-92.2896,Fraud,1,0,No Arrest,Medium
C1271,2024-01-04,17:42,Kansas City,Carol Burgs,39.0997,-94.5786,Fraud,1,1,Arrest Made,Medium
C1272,2024-06-26,13:38,Little Rock,Joshua Creek,34.7465,-92.2896,Fraud,1,2,Arrest Made,Medium
C1273,2025-04-08,15:49,Oklahoma City,Marilyn Walk,35.4676,-97.5164,Vandalism,1,1,Arrest Made,Low
C1274,2023-10-08,16:53,Oklahoma City,Marcus Field,35.4676,-97.5164,Homicide,1,1,Arrest Made,High
C1275,2023-11-23,09:02,Little Rock,Amy Squares,34.7465,-92.2896,Vandalism,1,1,Arrest Made,Low
C1276,2024-12-25,14:15,Oklahoma City,Goodman Glen,35.4676,-97.5164,Burglary,1,0,No Arrest,Medium
C1277,2024-08-06,02:57,Houston,Rodney Plain,29.7604,-95.3698,Homicide,1,1,Arrest Made,High
C1278,2024-03-15,18:36,Little Rock,Cooper Creek,34.7465,-92.2896,Burglary,1,2,Arrest Made,Medium
C1279,2024-06-16,22:31,Dallas,Garcia Springs,32.7767,-96.797,Theft,1,2,Arrest Made,Low
C1280,2023-10-04,06:31,Oklahoma City,Tracy Inlet,35.4676,-97.5164,Fraud,1,0,No Arrest,Medium
C1281,2024-02-02,06:04,Little Rock,Wolf Gateway,34.7465,-92.2896,Theft,1,2,Arrest Made,Low
C1282,2023-12-09,04:36,Dallas,Kenneth Lane,32.7767,-96.797,Drug Offense,1,1,Arrest Made,Medium
C1283,2024-08-15,16:14,Austin,Rebecca Point,30.2672,-97.7431,Theft,1,1,Arrest Made,Low
C1284,2025-04-09,18:44,Kansas City,Jennifer Meadows,39.0997,-94.5786,Robbery,1,2,Arrest Made,High
C1285,2023-06-14,16:02,Little Rock,Castillo Tunnel,34.7465,-92.2896,Assault,1,0,No Arrest,Medium
C1286,2024-07-17,00:34,Dallas,Mason Ways,32.7767,-96.797,Assault,1,0,No Arrest,Medium
C1287,2024-12-13,16:34,Dallas,Krista Ville,32.7767,-96.797,Homicide,1,1,Arrest Made,High
C1288,2023-06-15,12:00,Oklahoma City,Richards Roads,35.4676,-97.5164,Homicide,1,1,Arrest Made,High
C1289,2023-11-07,06:53,Tulsa,James Bridge,36.15398,-95.99277,Burglary,1,2,Arrest Made,Medium
C1290,2023-10-09,10:30,Tulsa,Elizabeth Extensions,36.15398,-95.99277,Assault,1,2,Arrest Made,Medium
C1291,2024-08-16,13:32,Kansas City,Murphy Valley,39.0997,-94.5786,Burglary,1,0,No Arrest,Medium
C1292,2023-09-23,19:14,Tulsa,Beck Knoll,36.15398,-95.99277,Assault,1,1,Arrest Made,Medium
C1293,2025-04-30,16:21,Little Rock,Snyder Stravenue,34.7465,-92.2896,Homicide,1,1,Arrest Made,High
C1294,2024-09-06,21:24,Little Rock,Joseph Forks,34.7465,-92.2896,Burglary,1,1,Arrest Made,Medium
C1295,2024-05-08,14:26,San Antonio,Rodney Trail,29.4241,-98.4936,Vandalism,1,1,Arrest Made,Low
C1296,2024-05-28,18:06,Austin,Teresa Harbors,30.2672,-97.7431,Theft,1,2,Arrest Made,Low
C1297,2025-01-24,17:16,Little Rock,Douglas Views,34.7465,-92.2896,Homicide,1,1,Arrest Made,High
C1298,2024-10-13,02:30,Kansas City,Jamie Stravenue,39.0997,-94.5786,Assault,1,1,Arrest Made,Medium
C1299,2025-02-08,02:00,Austin,Curtis Crescent,30.2672,-97.7431,Vandalism,1,1,Arrest Made,Low
C1300,2024-10-03,07:40,Dallas,Patterson Crossing,32.7767,-96.797,Fraud,1,1,Arrest Made,Medium
C1301,2025-01-13,15:06,Kansas City,Donna Fords,39.0997,-94.5786,Vandalism,1,2,Arrest Made,Low
C1302,2024-11-19,20:02,Austin,Hannah Mill,30.2672,-97.7431,Drug Offense,1,0,No Arrest,Medium
C1303,2025-01-16,07:19,Tulsa,Williams Streets,36.15398,-95.99277,Theft,1,0,No Arrest,Low
C1304,2024-12-20,13:51,Austin,Goodman Springs,30.2672,-97.7431,Vandalism,1,1,Arrest Made,Low
C1305,2024-11-28,21:02,Little Rock,Bryant Crossroad,34.7465,-92.2896,Theft,1,1,Arrest Made,Low
C1306,2024-01-09,19:25,Tulsa,Castillo Valleys,36.15398,-95.99277,Drug Offense,1,1,Arrest Made,Medium
C1307,2024-05-09,03:42,San Antonio,Connie Throughway,29.4241,-98.4936,Robbery,1,2,Arrest Made,High
C1308,2024-02-24,19:01,Oklahoma City,Cook Grove,35.4676,-97.5164,Fraud,1,1,Arrest Made,Medium
C1309,2025-05-22,02:06,Tulsa,Elizabeth Burgs,36.15398,-95.99277,Assault,1,0,No Arrest,Medium
C1310,2023-11-30,20:11,Houston,Emily Via,29.7604,-95.3698,Theft,1,2,Arrest Made,Low
C1311,2024-04-13,09:39,Austin,Tanner Square,30.2672,-97.7431,Robbery,1,2,Arrest Made,High
C1312,2024-12-11,15:02,Tulsa,Williams Corners,36.15398,-95.99277,Assault,1,0,No Arrest,Medium
C1313,2024-04-19,04:08,Tulsa,Jennifer Stravenue,36.15398,-95.99277,Drug Offense,1,1,Arrest Made,Medium
C1314,2023-08-01,02:36,Tulsa,White Haven,36.15398,-95.99277,Vandalism,1,1,Arrest Made,Low
C1315,2024-07-24,04:14,Austin,Edward Ford,30.2672,-97.7431,Robbery,1,2,Arrest Made,High
C1316,2024-01-08,13:50,Oklahoma City,Williams Lane,35.4676,-97.5164,Robbery,1,2,Arrest Made,High
C1317,2023-12-02,21:02,Oklahoma City,Alexandria Centers,35.4676,-97.5164,Vandalism,1,2,Arrest Made,Low
C1318,2024-08-04,21:30,Dallas,Eric Motorway,32.7767,-96.797,Robbery,1,0,No Arrest,High
C1319,2024-02-21,23:36,Houston,Tasha Fort,29.7604,-95.3698,Theft,1,1,Arrest Made,Low
C1320,2024-03-01,01:09,Austin,Acosta Plaza,30.2672,-97.7431,Theft,1,2,Arrest Made,Low
C1321,2023-08-03,13:56,Houston,Martha Glen,29.7604,-95.3698,Homicide,1,1,Arrest Made,High
C1322,2023-08-05,10:12,San Antonio,Leblanc Alley,29.4241,-98.4936,Theft,1,0,No Arrest,Low
C1323,2024-10-16,12:28,San Antonio,Hammond Underpass,29.4241,-98.4936,Assault,1,0,No Arrest,Medium
C1324,2023-10-21,02:15,Dallas,Daniel Ranch,32.7767,-96.797,Theft,1,1,Arrest Made,Low
C1325,2024-10-11,10:57,Austin,Crosby Unions,30.2672,-97.7431,Burglary,1,1,Arrest Made,Medium
C1326,2024-03-01,11:49,San Antonio,Lin Lake,29.4241,-98.4936,Drug Offense,1,2,Arrest Made,Medium
C1327,2024-01-15,20:48,Austin,Carolyn Corners,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1328,2023-07-09,15:17,Dallas,Heather Overpass,32.7767,-96.797,Vandalism,1,2,Arrest Made,Low
C1329,2024-07-03,17:25,Kansas City,Dean Light,39.0997,-94.5786,Fraud,1,1,Arrest Made,Medium
C1330,2025-04-20,21:56,Houston,Fleming Manor,29.7604,-95.3698,Robbery,1,1,Arrest Made,High
C1331,2023-10-23,23:10,Kansas City,Herrera Wall,39.0997,-94.5786,Burglary,1,2,Arrest Made,Medium
C1332,2023-11-19,00:51,Tulsa,Melissa Run,36.15398,-95.99277,Burglary,1,0,No Arrest,Medium
C1333,2023-11-03,00:45,Tulsa,David Lights,36.15398,-95.99277,Vandalism,1,0,No Arrest,Low
C1334,2025-02-03,17:20,Dallas,Smith Flat,32.7767,-96.797,Vandalism,1,0,No Arrest,Low
C1335,2025-02-23,06:07,Dallas,Gutierrez Plains,32.7767,-96.797,Assault,1,1,Arrest Made,Medium
C1336,2023-11-16,23:47,Austin,Anthony Expressway,30.2672,-97.7431,Robbery,1,2,Arrest Made,High
C1337,2024-12-08,16:52,San Antonio,Dalton Station,29.4241,-98.4936,Robbery,1,2,Arrest Made,High
C1338,2024-02-13,11:08,Kansas City,Alexander Well,39.0997,-94.5786,Theft,1,2,Arrest Made,Low
C1339,2024-07-23,06:49,Little Rock,Keith Drives,34.7465,-92.2896,Homicide,1,1,Arrest Made,High
C1340,2025-04-21,08:44,Houston,Debbie Port,29.7604,-95.3698,Theft,1,2,Arrest Made,Low
C1341,2024-11-15,16:12,San Antonio,Johnson Plains,29.4241,-98.4936,Robbery,1,1,Arrest Made,High
C1342,2025-01-01,00:48,Tulsa,Christine Junction,36.15398,-95.99277,Burglary,1,1,Arrest Made,Medium
C1343,2024-11-30,14:44,Dallas,Hammond Hills,32.7767,-96.797,Vandalism,1,0,No Arrest,Low
C1344,2024-10-30,07:17,Oklahoma City,Robertson Mission,35.4676,-97.5164,Vandalism,1,1,Arrest Made,Low
C1345,2024-07-08,20:20,Houston,Shannon Mount,29.7604,-95.3698,Vandalism,1,1,Arrest Made,Low
C1346,2023-08-15,05:27,Austin,Robert Rapid,30.2672,-97.7431,Drug Offense,1,2,Arrest Made,Medium
C1347,2024-08-02,23:41,Austin,Alan Mountains,30.2672,-97.7431,Burglary,1,0,No Arrest,Medium
C1348,2023-09-22,01:56,Tulsa,Phyllis Trail,36.15398,-95.99277,Theft,1,2,Arrest Made,Low
C1349,2024-09-20,17:18,Tulsa,Ward Vista,36.15398,-95.99277,Homicide,1,1,Arrest Made,High
C1350,2024-06-27,07:55,Austin,David Mountains,30.2672,-97.7431,Fraud,1,1,Arrest Made,Medium
C1351,2024-07-06,09:10,Tulsa,Smith Row,36.15398,-95.99277,Vandalism,1,1,Arrest Made,Low
C1352,2025-06-07,00:33,Little Rock,Cindy Village,34.7465,-92.2896,Drug Offense,1,0,No Arrest,Medium
C1353,2024-10-22,02:47,Little Rock,Johnson River,34.7465,-92.2896,Assault,1,1,Arrest Made,Medium
C1354,2025-02-06,13:10,Tulsa,William Expressway,36.15398,-95.99277,Homicide,1,1,Arrest Made,High
C1355,2025-01-20,05:10,San Antonio,Robert Grove,29.4241,-98.4936,Fraud,1,1,Arrest Made,Medium
C1356,2025-06-01,09:23,Tulsa,Scott Extensions,36.15398,-95.99277,Theft,1,0,No Arrest,Low
C1357,2024-11-14,08:22,Little Rock,Gonzalez Extension,34.7465,-92.2896,Fraud,1,0,No Arrest,Medium
C1358,2024-09-13,10:35,Austin,Nguyen Mountains,30.2672,-97.7431,Drug Offense,1,0,No Arrest,Medium
C1359,2024-04-20,05:27,Houston,Cooper Drives,29.7604,-95.3698,Robbery,1,2,Arrest Made,High
C1360,2025-01-11,23:03,Austin,Claire Forge,30.2672,-97.7431,Burglary,1,0,No Arrest,Medium
C1361,2024-11-15,21:13,Tulsa,Moore Creek,36.15398,-95.99277,Assault,1,2,Arrest Made,Medium
C1362,2023-11-27,17:02,Kansas City,Mckinney Union,39.0997,-94.5786,Drug Offense,1,1,Arrest Made,Medium
C1363,2024-12-08,15:23,San Antonio,Andres Fall,29.4241,-98.4936,Drug Offense,1,0,No Arrest,Medium
C1364,2023-10-09,23:29,Houston,Anderson Views,29.7604,-95.3698,Fraud,1,2,Arrest Made,Medium
C1365,2025-01-13,15:17,Oklahoma City,Sarah Stravenue,35.4676,-97.5164,Burglary,1,2,Arrest Made,Medium
C1366,2023-07-13,20:00,Houston,Jason Corners,29.7604,-95.3698,Fraud,1,2,Arrest Made,Medium
C1367,2025-02-27,15:02,Houston,Hansen Ferry,29.7604,-95.3698,Theft,1,2,Arrest Made,Low
C1368,2023-07-16,08:28,Little Rock,Dunlap Spring,34.7465,-92.2896,Homicide,1,1,Arrest Made,High
C1369,2025-04-21,04:46,Austin,Reeves Mountains,30.2672,-97.7431,Drug Offense,1,0,No Arrest,Medium
C1370,2025-02-08,10:30,Kansas City,Michael Fords,39.0997,-94.5786,Assault,1,1,Arrest Made,Medium
C1371,2024-09-11,05:24,Little Rock,Schwartz Forks,34.7465,-92.2896,Assault,1,0,No Arrest,Medium
C1372,2024-12-29,16:53,Tulsa,King Loaf,36.15398,-95.99277,Homicide,1,1,Arrest Made,High
C1373,2023-11-11,13:18,San Antonio,Randy Route,29.4241,-98.4936,Fraud,1,1,Arrest Made,Medium
C1374,2024-10-13,07:04,Houston,Austin Stream,29.7604,-95.3698,Assault,1,1,Arrest Made,Medium
C1375,2024-09-17,12:42,Kansas City,Bush Coves,39.0997,-94.5786,Burglary,1,1,Arrest Made,Medium
C1376,2024-12-22,09:40,Austin,Jonathan Extension,30.2672,-97.7431,Robbery,1,2,Arrest Made,High
C1377,2024-10-04,14:57,Dallas,Amanda Flats,32.7767,-96.797,Fraud,1,0,No Arrest,Medium
C1378,2025-01-15,23:32,Houston,Melissa Centers,29.7604,-95.3698,Vandalism,1,1,Arrest Made,Low
C1379,2025-03-03,10:58,Little Rock,Susan Road,34.7465,-92.2896,Robbery,1,1,Arrest Made,High
C1380,2023-07-30,22:24,San Antonio,Seth Loop,29.4241,-98.4936,Vandalism,1,1,Arrest Made,Low
C1381,2023-12-12,16:19,Little Rock,Miller Glen,34.7465,-92.2896,Fraud,1,1,Arrest Made,Medium
C1382,2023-09-19,13:48,Little Rock,Jacob Station,34.7465,-92.2896,Assault,1,1,Arrest Made,Medium
C1383,2025-02-17,21:39,Oklahoma City,Oscar Crossing,35.4676,-97.5164,Robbery,1,2,Arrest Made,High
C1384,2023-07-01,17:34,Oklahoma City,Krueger Loop,35.4676,-97.5164,Vandalism,1,0,No Arrest,Low
C1385,2024-03-04,05:54,Little Rock,Travis Valleys,34.7465,-92.2896,Theft,1,1,Arrest Made,Low
C1386,2025-01-19,00:37,San Antonio,Williams Spurs,29.4241,-98.4936,Theft,1,1,Arrest Made,Low
C1387,2025-01-20,20:59,Tulsa,Maria Courts,36.15398,-95.99277,Assault,1,1,Arrest Made,Medium
C1388,2024-08-21,01:33,Tulsa,Jay Knolls,36.15398,-95.99277,Drug Offense,1,1,Arrest Made,Medium
C1389,2024-10-24,05:25,Oklahoma City,Denise Brook,35.4676,-97.5164,Drug Offense,1,1,Arrest Made,Medium
C1390,2025-02-19,14:33,Austin,Matthew Inlet,30.2672,-97.7431,Vandalism,1,1,Arrest Made,Low
C1391,2025-03-14,12:22,Oklahoma City,Sarah Ferry,35.4676,-97.5164,Vandalism,1,0,No Arrest,Low
C1392,2024-07-18,01:05,Austin,Ward Unions,30.2672,-97.7431,Robbery,1,1,Arrest Made,High
C1393,2024-12-17,15:37,Kansas City,Clark Key,39.0997,-94.5786,Drug Offense,1,0,No Arrest,Medium
C1394,2023-12-25,12:53,Dallas,Grimes Meadow,32.7767,-96.797,Robbery,1,1,Arrest Made,High
C1395,2023-11-06,03:06,Austin,Taylor Hollow,30.2672,-97.7431,Drug Offense,1,0,No Arrest,Medium
C1396,2025-04-28,23:03,Little Rock,Matthew Course,34.7465,-92.2896,Burglary,1,1,Arrest Made,Medium
C1397,2024-09-29,10:27,Kansas City,Phillip Throughway,39.0997,-94.5786,Vandalism,1,0,No Arrest,Low
C1398,2024-11-01,11:03,Tulsa,Raymond Motorway,36.15398,-95.99277,Robbery,1,1,Arrest Made,High
C1399,2025-01-03,15:39,San Antonio,Hayes Mount,29.4241,-98.4936,Vandalism,1,2,Arrest Made,Low
C1400,2023-09-25,08:02,Kansas City,Cheryl Lodge,39.0997,-94.5786,Vandalism,1,0,No Arrest,Low
C1401,2025-03-21,08:11,Dallas,Wesley Estate,32.7767,-96.797,Vandalism,1,2,Arrest Made,Low
C1402,2024-03-23,06:24,Kansas City,Julia Extension,39.0997,-94.5786,Drug Offense,1,1,Arrest Made,Medium
C1403,2025-04-21,10:08,Tulsa,Robert Field,36.15398,-95.99277,Vandalism,1,2,Arrest Made,Low
C1404,2023-07-31,06:37,Little Rock,Catherine Crossroad,34.7465,-92.2896,Robbery,1,2,Arrest Made,High
C1405,2023-12-17,07:54,Oklahoma City,Nunez Key,35.4676,-97.5164,Homicide,1,1,Arrest Made,High
C1406,2023-08-23,02:13,Oklahoma City,Stephanie Expressway,35.4676,-97.5164,Homicide,1,1,Arrest Made,High
C1407,2023-07-20,03:45,Tulsa,Lawson Valleys,36.15398,-95.99277,Vandalism,1,2,Arrest Made,Low
C1408,2024-09-14,02:40,Tulsa,Thomas Forge,36.15398,-95.99277,Burglary,1,0,No Arrest,Medium
C1409,2024-04-25,21:36,Little Rock,Richardson Views,34.7465,-92.2896,Fraud,1,2,Arrest Made,Medium
C1410,2023-12-28,07:59,Dallas,Gutierrez Spurs,32.7767,-96.797,Homicide,1,1,Arrest Made,High
C1411,2024-05-28,15:08,Houston,Hayes Orchard,29.7604,-95.3698,Assault,1,2,Arrest Made,Medium
C1412,2023-12-04,12:52,Austin,John Trace,30.2672,-97.7431,Theft,1,2,Arrest Made,Low
C1413,2025-05-13,14:45,Kansas City,Payne Islands,39.0997,-94.5786,Burglary,1,0,No Arrest,Medium
C1414,2023-07-21,20:12,Austin,Powell Burg,30.2672,-97.7431,Vandalism,1,1,Arrest Made,Low
C1415,2024-09-25,15:18,Tulsa,Mercer Stream,36.15398,-95.99277,Burglary,1,1,Arrest Made,Medium
C1416,2025-01-09,00:06,Little Rock,Lori Way,34.7465,-92.2896,Vandalism,1,2,Arrest Made,Low
C1417,2023-06-16,07:17,Houston,Adam Branch,29.7604,-95.3698,Theft,1,1,Arrest Made,Low
C1418,2025-04-17,07:33,Austin,Morris Rest,30.2672,-97.7431,Vandalism,1,1,Arrest Made,Low
C1419,2024-08-20,06:33,San Antonio,Ruiz Plains,29.4241,-98.4936,Homicide,1,1,Arrest Made,High
C1420,2024-09-04,08:30,Dallas,Russell Turnpike,32.7767,-96.797,Vandalism,1,1,Arrest Made,Low
C1421,2023-06-22,13:03,Dallas,Gina Field,32.7767,-96.797,Assault,1,2,Arrest Made,Medium
C1422,2025-05-06,22:29,Kansas City,Nancy Glens,39.0997,-94.5786,Homicide,1,1,Arrest Made,High
C1423,2023-08-11,07:49,Houston,Smith Square,29.7604,-95.3698,Burglary,1,2,Arrest Made,Medium
C1424,2025-04-21,16:59,Kansas City,Daniel Green,39.0997,-94.5786,Burglary,1,2,Arrest Made,Medium
C1425,2023-10-04,11:50,San Antonio,Richard Wells,29.4241,-98.4936,Drug Offense,1,1,Arrest Made,Medium
C1426,2025-05-07,14:48,Austin,Holly Forges,30.2672,-97.7431,Robbery,1,0,No Arrest,High
C1427,2024-07-22,01:09,Oklahoma City,Baker Spurs,35.4676,-97.5164,Homicide,1,1,Arrest Made,High
C1428,2024-11-24,05:50,Dallas,Williams Rapids,32.7767,-96.797,Vandalism,1,1,Arrest Made,Low
C1429,2025-01-12,10:52,Little Rock,James Islands,34.7465,-92.2896,Robbery,1,0,No Arrest,High
C1430,2024-06-17,21:38,Austin,Larry Club,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1431,2024-10-12,02:59,Austin,Henry Lodge,30.2672,-97.7431,Drug Offense,1,1,Arrest Made,Medium
C1432,2023-12-23,23:20,San Antonio,Fred Trace,29.4241,-98.4936,Drug Offense,1,0,No Arrest,Medium
C1433,2024-05-20,05:10,Dallas,Shannon Locks,32.7767,-96.797,Burglary,1,1,Arrest Made,Medium
C1434,2024-01-10,01:15,Tulsa,Lopez Coves,36.15398,-95.99277,Drug Offense,1,0,No Arrest,Medium
C1435,2023-09-11,11:14,San Antonio,Erica Valleys,29.4241,-98.4936,Vandalism,1,0,No Arrest,Low
C1436,2024-06-26,02:29,Austin,Clark Plaza,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1437,2024-12-03,09:32,Dallas,Coleman Falls,32.7767,-96.797,Robbery,1,0,No Arrest,High
C1438,2024-04-07,05:15,Little Rock,Kyle Ports,34.7465,-92.2896,Assault,1,1,Arrest Made,Medium
C1439,2025-03-18,10:07,Little Rock,Perez Key,34.7465,-92.2896,Fraud,1,0,No Arrest,Medium
C1440,2024-04-13,00:35,Dallas,Emily Avenue,32.7767,-96.797,Theft,1,1,Arrest Made,Low
C1441,2024-09-28,16:09,San Antonio,Sydney Ranch,29.4241,-98.4936,Theft,1,2,Arrest Made,Low
C1442,2024-04-18,00:48,Little Rock,Gomez Burg,34.7465,-92.2896,Homicide,1,1,Arrest Made,High
C1443,2025-02-11,07:50,Houston,Ramos Key,29.7604,-95.3698,Fraud,1,0,No Arrest,Medium
C1444,2023-08-22,01:42,Austin,Lozano Crossing,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1445,2023-10-21,01:12,Austin,Rice Views,30.2672,-97.7431,Drug Offense,1,0,No Arrest,Medium
C1446,2024-07-25,10:28,Austin,Myers Alley,30.2672,-97.7431,Vandalism,1,1,Arrest Made,Low
C1447,2024-03-19,15:21,San Antonio,Corey Plaza,29.4241,-98.4936,Theft,1,1,Arrest Made,Low
C1448,2025-02-23,15:19,Kansas City,Latoya Plains,39.0997,-94.5786,Fraud,1,2,Arrest Made,Medium
C1449,2024-08-21,07:23,Dallas,Mark Ramp,32.7767,-96.797,Drug Offense,1,0,No Arrest,Medium
C1450,2023-09-07,21:23,San Antonio,Matthew Squares,29.4241,-98.4936,Robbery,1,0,No Arrest,High
C1451,2024-01-27,11:37,Oklahoma City,Deborah Motorway,35.4676,-97.5164,Drug Offense,1,1,Arrest Made,Medium
C1452,2024-01-19,21:04,Little Rock,Roth Ville,34.7465,-92.2896,Assault,1,2,Arrest Made,Medium
C1453,2024-09-04,21:15,Austin,James Trafficway,30.2672,-97.7431,Vandalism,1,1,Arrest Made,Low
C1454,2024-12-31,16:53,Houston,Amy Rue,29.7604,-95.3698,Drug Offense,1,0,No Arrest,Medium
C1455,2023-11-23,19:11,Austin,Dennis Lodge,30.2672,-97.7431,Assault,1,1,Arrest Made,Medium
C1456,2024-11-10,09:59,Houston,Kidd Springs,29.7604,-95.3698,Drug Offense,1,1,Arrest Made,Medium
C1457,2025-03-11,12:45,San Antonio,Carrillo Viaduct,29.4241,-98.4936,Robbery,1,0,No Arrest,High
C1458,2025-01-05,17:27,Little Rock,Curtis Drives,34.7465,-92.2896,Burglary,1,2,Arrest Made,Medium
C1459,2024-02-12,20:28,Austin,Emma Wells,30.2672,-97.7431,Assault,1,1,Arrest Made,Medium
C1460,2024-01-12,03:10,Kansas City,Porter Drives,39.0997,-94.5786,Burglary,1,1,Arrest Made,Medium
C1461,2024-11-28,23:14,Tulsa,Brown Creek,36.15398,-95.99277,Robbery,1,0,No Arrest,High
C1462,2024-11-30,11:46,Little Rock,Morgan Union,34.7465,-92.2896,Theft,1,0,No Arrest,Low
C1463,2024-03-17,23:54,Tulsa,Ashley Streets,36.15398,-95.99277,Fraud,1,0,No Arrest,Medium
C1464,2024-10-10,09:26,San Antonio,Williams Parkways,29.4241,-98.4936,Homicide,1,1,Arrest Made,High
C1465,2025-02-18,15:04,Tulsa,Audrey Plaza,36.15398,-95.99277,Drug Offense,1,0,No Arrest,Medium
C1466,2024-11-12,15:14,Little Rock,Charles Street,34.7465,-92.2896,Homicide,1,1,Arrest Made,High
C1467,2025-03-04,23:52,Houston,Keith Valley,29.7604,-95.3698,Fraud,1,0,No Arrest,Medium
C1468,2024-09-08,21:57,Little Rock,Sanford Mountain,34.7465,-92.2896,Theft,1,0,No Arrest,Low
C1469,2024-05-09,08:16,Dallas,Benjamin Spur,32.7767,-96.797,Theft,1,2,Arrest Made,Low
C1470,2023-12-22,21:32,Tulsa,Anderson Meadows,36.15398,-95.99277,Assault,1,0,No Arrest,Medium
C1471,2024-07-14,02:20,Dallas,Diana Trafficway,32.7767,-96.797,Assault,1,0,No Arrest,Medium
C1472,2025-05-02,01:48,Oklahoma City,Deleon Roads,35.4676,-97.5164,Robbery,1,0,No Arrest,High
C1473,2025-02-14,04:16,San Antonio,Ariel Forges,29.4241,-98.4936,Fraud,1,1,Arrest Made,Medium
C1474,2024-01-21,13:42,Kansas City,Montgomery Locks,39.0997,-94.5786,Vandalism,1,1,Arrest Made,Low
C1475,2025-02-13,18:24,Tulsa,Ortega Skyway,36.15398,-95.99277,Fraud,1,0,No Arrest,Medium
C1476,2023-07-04,18:32,Houston,Patrick Trace,29.7604,-95.3698,Drug Offense,1,1,Arrest Made,Medium
